#     w           TDOS(K,w)           Gamma(0,w)           ADOS(K,w)       ADOS_Error        TDOS_Error    Gamma_Error    TDOS_Loc(R=0)       TDOS_Loc_Error
       -0.416667   0.37519942E+00   0.37726183E+00   0.38150252E+00   0.72110561E-02   0.00000000E+00   0.41670157E-02   0.37784894E+00   0.56387309E-02
       -0.400000   0.37607409E+00   0.37783757E+00   0.38259287E+00   0.73049556E-02   0.00000000E+00   0.42547076E-02   0.37889236E+00   0.58470750E-02
       -0.383333   0.37690624E+00   0.37838585E+00   0.38361405E+00   0.73912916E-02   0.00000000E+00   0.43385594E-02   0.37988832E+00   0.60604833E-02
       -0.366667   0.37769669E+00   0.37890665E+00   0.38456692E+00   0.74688529E-02   0.00000000E+00   0.44176378E-02   0.38083746E+00   0.62780464E-02
       -0.350000   0.37844613E+00   0.37939995E+00   0.38545251E+00   0.75366634E-02   0.00000000E+00   0.44910712E-02   0.38174039E+00   0.64988316E-02
       -0.333333   0.37915526E+00   0.37986580E+00   0.38627200E+00   0.75939630E-02   0.00000000E+00   0.45580607E-02   0.38259774E+00   0.67218721E-02
       -0.316667   0.37982470E+00   0.38030425E+00   0.38702665E+00   0.76401864E-02   0.00000000E+00   0.46178901E-02   0.38341008E+00   0.69461570E-02
       -0.300000   0.38045506E+00   0.38071536E+00   0.38771780E+00   0.76749403E-02   0.00000000E+00   0.46699347E-02   0.38417797E+00   0.71706235E-02
       -0.283333   0.38104692E+00   0.38109923E+00   0.38834682E+00   0.76979822E-02   0.00000000E+00   0.47136692E-02   0.38490192E+00   0.73941508E-02
       -0.266667   0.38160085E+00   0.38145600E+00   0.38891506E+00   0.77092034E-02   0.00000000E+00   0.47486742E-02   0.38558239E+00   0.76155575E-02
       -0.250000   0.38211741E+00   0.38178580E+00   0.38942390E+00   0.77086153E-02   0.00000000E+00   0.47746418E-02   0.38621979E+00   0.78336008E-02
       -0.233333   0.38259715E+00   0.38208884E+00   0.38987465E+00   0.76963408E-02   0.00000000E+00   0.47913798E-02   0.38681448E+00   0.80469796E-02
       -0.216667   0.38304061E+00   0.38236530E+00   0.39026864E+00   0.76726105E-02   0.00000000E+00   0.47988155E-02   0.38736679E+00   0.82543398E-02
       -0.200000   0.38344834E+00   0.38261542E+00   0.39060712E+00   0.76377622E-02   0.00000000E+00   0.47969974E-02   0.38787697E+00   0.84542833E-02
       -0.183333   0.38382087E+00   0.38283946E+00   0.39089137E+00   0.75922425E-02   0.00000000E+00   0.47860973E-02   0.38834527E+00   0.86453793E-02
       -0.166667   0.38415872E+00   0.38303767E+00   0.39112260E+00   0.75366106E-02   0.00000000E+00   0.47664105E-02   0.38877189E+00   0.88261797E-02
       -0.150000   0.38446243E+00   0.38321030E+00   0.39130206E+00   0.74715404E-02   0.00000000E+00   0.47383556E-02   0.38915705E+00   0.89952377E-02
       -0.133333   0.38473250E+00   0.38335762E+00   0.39143095E+00   0.73978209E-02   0.00000000E+00   0.47024728E-02   0.38950092E+00   0.91511287E-02
       -0.116667   0.38496941E+00   0.38347987E+00   0.39151050E+00   0.73163540E-02   0.00000000E+00   0.46594216E-02   0.38980371E+00   0.92924745E-02
       -0.100000   0.38517364E+00   0.38357726E+00   0.39154194E+00   0.72281473E-02   0.00000000E+00   0.46099758E-02   0.39006559E+00   0.94179699E-02
       -0.083333   0.38534562E+00   0.38364997E+00   0.39152648E+00   0.71343027E-02   0.00000000E+00   0.45550175E-02   0.39028676E+00   0.95264094E-02
       -0.066667   0.38548575E+00   0.38369815E+00   0.39146536E+00   0.70359999E-02   0.00000000E+00   0.44955277E-02   0.39046741E+00   0.96167151E-02
       -0.050000   0.38559435E+00   0.38372188E+00   0.39135977E+00   0.69344763E-02   0.00000000E+00   0.44325745E-02   0.39060771E+00   0.96879628E-02
       -0.033333   0.38567172E+00   0.38372121E+00   0.39121089E+00   0.68310030E-02   0.00000000E+00   0.43672980E-02   0.39070781E+00   0.97394059E-02
       -0.016667   0.38571806E+00   0.38369615E+00   0.39101987E+00   0.67268582E-02   0.00000000E+00   0.43008903E-02   0.39076782E+00   0.97704958E-02
        0.000000   0.38573349E+00   0.38364666E+00   0.39078781E+00   0.66233007E-02   0.00000000E+00   0.42345728E-02   0.39078781E+00   0.97808967E-02
        0.016667   0.38571806E+00   0.38357265E+00   0.39051576E+00   0.65215436E-02   0.00000000E+00   0.41695683E-02   0.39076782E+00   0.97704958E-02
        0.033333   0.38567172E+00   0.38347402E+00   0.39020472E+00   0.64227305E-02   0.00000000E+00   0.41070695E-02   0.39070781E+00   0.97394059E-02
        0.050000   0.38559435E+00   0.38335065E+00   0.38985565E+00   0.63279154E-02   0.00000000E+00   0.40482051E-02   0.39060771E+00   0.96879628E-02
        0.066667   0.38548575E+00   0.38320241E+00   0.38946946E+00   0.62380468E-02   0.00000000E+00   0.39940035E-02   0.39046741E+00   0.96167151E-02
        0.083333   0.38534562E+00   0.38302918E+00   0.38904704E+00   0.61539583E-02   0.00000000E+00   0.39453568E-02   0.39028676E+00   0.95264094E-02
        0.100000   0.38517364E+00   0.38283087E+00   0.38858924E+00   0.60763634E-02   0.00000000E+00   0.39029883E-02   0.39006559E+00   0.94179699E-02
        0.116667   0.38496941E+00   0.38260743E+00   0.38809691E+00   0.60058563E-02   0.00000000E+00   0.38674242E-02   0.38980371E+00   0.92924745E-02
        0.133333   0.38473250E+00   0.38235884E+00   0.38757090E+00   0.59429174E-02   0.00000000E+00   0.38389743E-02   0.38950092E+00   0.91511287E-02
        0.150000   0.38446243E+00   0.38208516E+00   0.38701204E+00   0.58879216E-02   0.00000000E+00   0.38177227E-02   0.38915705E+00   0.89952377E-02
        0.166667   0.38415872E+00   0.38178650E+00   0.38642118E+00   0.58411500E-02   0.00000000E+00   0.38035304E-02   0.38877189E+00   0.88261797E-02
        0.183333   0.38382087E+00   0.38146304E+00   0.38579916E+00   0.58028021E-02   0.00000000E+00   0.37960496E-02   0.38834527E+00   0.86453793E-02
        0.200000   0.38344834E+00   0.38111504E+00   0.38514681E+00   0.57730083E-02   0.00000000E+00   0.37947496E-02   0.38787697E+00   0.84542833E-02
        0.216667   0.38304061E+00   0.38074283E+00   0.38446494E+00   0.57518417E-02   0.00000000E+00   0.37989509E-02   0.38736679E+00   0.82543398E-02
        0.233333   0.38259715E+00   0.38034682E+00   0.38375431E+00   0.57393279E-02   0.00000000E+00   0.38078660E-02   0.38681448E+00   0.80469796E-02
        0.250000   0.38211741E+00   0.37992748E+00   0.38301568E+00   0.57354530E-02   0.00000000E+00   0.38206428E-02   0.38621979E+00   0.78336008E-02
        0.266667   0.38160085E+00   0.37948538E+00   0.38224971E+00   0.57401690E-02   0.00000000E+00   0.38364071E-02   0.38558239E+00   0.76155575E-02
        0.283333   0.38104692E+00   0.37902114E+00   0.38145702E+00   0.57533969E-02   0.00000000E+00   0.38543035E-02   0.38490192E+00   0.73941508E-02
        0.300000   0.38045506E+00   0.37853545E+00   0.38063814E+00   0.57750279E-02   0.00000000E+00   0.38735302E-02   0.38417797E+00   0.71706235E-02
        0.316667   0.37982470E+00   0.37802905E+00   0.37979351E+00   0.58049225E-02   0.00000000E+00   0.38933696E-02   0.38341008E+00   0.69461570E-02
        0.333333   0.37915526E+00   0.37750276E+00   0.37892347E+00   0.58429089E-02   0.00000000E+00   0.39132120E-02   0.38259774E+00   0.67218721E-02
